BUKRS,BELNR,GJAHR,BLDAT,BUDAT,BLART,WAERK,USNAM,XBLNR,BKTXT
1000,0000001276,2021,20210825,20200911,ZP,EUR,USER026,REF32079,Invoice payment
3000,0000001277,2020,20231019,20210713,KR,USD,USER023,REF33322,Expense report
3000,0000001278,2020,20231014,20221226,KR,USD,USER045,REF16259,Customer receipt
3000,0000001279,2020,20220310,20231114,SA,USD,USER004,REF88407,Invoice payment
1000,0000001280,2023,20240420,20210217,KR,USD,USER016,REF36212,Invoice payment
1000,0000001281,2023,20200227,20200130,SA,COP,USER044,REF97680,Invoice payment
1000,0000001282,2020,20240620,20240906,KR,EUR,USER011,REF15768,Asset acquisition
3000,0000001283,2020,20240728,20211031,SA,EUR,USER041,REF34844,Vendor payment
1000,0000001284,2024,20220320,20220526,RE,COP,USER014,REF23878,Salary posting
2000,0000001285,2021,20200131,20220403,SA,COP,USER025,REF37887,Asset acquisition
1000,0000001286,2020,20230909,20240727,SA,EUR,USER040,REF58362,Invoice payment
1000,0000001287,2021,20220421,20210909,ZP,USD,USER007,REF80278,Vendor payment
1000,0000001288,2022,20200713,20230513,SA,EUR,USER045,REF60930,Customer receipt
3000,0000001289,2021,20211111,20201225,SA,EUR,USER031,REF18849,Salary posting
1000,0000001290,2024,20230413,20220708,AB,EUR,USER041,REF40464,Vendor payment
3000,0000001291,2020,20210421,20200213,ZP,COP,USER020,REF40984,Customer receipt
2000,0000001292,2021,20230623,20200611,RE,COP,USER024,REF75369,Salary posting
1000,0000001293,2021,20220208,20210222,RE,COP,USER047,REF88390,Asset acquisition
3000,0000001294,2022,20201001,20210723,SA,EUR,USER049,REF15191,Vendor payment
2000,0000001295,2022,20240317,20200218,KR,EUR,USER022,REF54922,Expense report
1000,0000001296,2024,20200420,20230923,KR,EUR,USER045,REF39156,Vendor payment
2000,0000001297,2024,20211020,20210110,AB,EUR,USER001,REF18469,Asset acquisition
1000,0000001298,2021,20200416,20230723,KR,COP,USER009,REF22027,Expense report
3000,0000001299,2024,20240829,20240616,KR,COP,USER033,REF20245,Asset acquisition
3000,0000001300,2023,20210929,20201202,KR,COP,USER028,REF33125,Vendor payment
1000,0000001301,2022,20210807,20230326,AB,EUR,USER013,REF45633,Asset acquisition
1000,0000001302,2022,20220326,20220212,KR,USD,USER029,REF65403,Vendor payment
3000,0000001303,2023,20240406,20201115,AB,COP,USER049,REF59993,Asset acquisition
1000,0000001304,2022,20230503,20230105,KR,EUR,USER047,REF33029,Salary posting
2000,0000001305,2023,20210918,20220717,SA,USD,USER036,REF89432,Asset acquisition
1000,0000001306,2022,20201006,20240104,AB,COP,USER010,REF34854,Invoice payment
1000,0000001307,2024,20240204,20240125,SA,USD,USER026,REF64502,Asset acquisition
3000,0000001308,2022,20220225,20220929,SA,EUR,USER038,REF19336,Asset acquisition
1000,0000001309,2020,20220227,20230304,KR,COP,USER049,REF67186,Salary posting
3000,0000001310,2022,20221109,20231223,AB,EUR,USER045,REF58258,Customer receipt
1000,0000001311,2023,20220518,20240215,KR,COP,USER031,REF14522,Salary posting
3000,0000001312,2020,20231129,20230925,KR,USD,USER039,REF69699,Customer receipt
1000,0000001313,2022,20210521,20230518,ZP,EUR,USER011,REF11617,Invoice payment
1000,0000001314,2023,20220325,20231217,ZP,COP,USER034,REF34749,Asset acquisition
1000,0000001315,2023,20210601,20231117,SA,EUR,USER035,REF96309,Asset acquisition
3000,0000001316,2022,20240212,20220422,RE,COP,USER041,REF85053,Salary posting
1000,0000001317,2022,20240313,20210305,AB,EUR,USER020,REF10841,Expense report
2000,0000001318,2020,20200717,20200523,AB,EUR,USER027,REF95789,Salary posting
3000,0000001319,2023,20201215,20201227,SA,COP,USER046,REF27607,Expense report
2000,0000001320,2021,20221026,20200813,AB,EUR,USER014,REF34331,Expense report
1000,0000001321,2021,20240715,20240403,KR,USD,USER027,REF67767,Customer receipt
3000,0000001322,2020,20241113,20230727,KR,COP,USER019,REF21233,Asset acquisition
1000,0000001323,2022,20200511,20211201,RE,EUR,USER016,REF72638,Asset acquisition
3000,0000001324,2020,20200120,20200505,SA,COP,USER043,REF86342,Invoice payment
1000,0000001325,2021,20221205,20240609,RE,USD,USER039,REF78167,Salary posting
2000,0000001326,2023,20240330,20211121,ZP,USD,USER022,REF58599,Customer receipt
2000,0000001327,2022,20240730,20210505,SA,EUR,USER026,REF59602,Vendor payment
1000,0000001328,2022,20241123,20211107,RE,COP,USER030,REF62665,Customer receipt
1000,0000001329,2020,20230517,20200908,ZP,USD,USER045,REF42576,Salary posting
2000,0000001330,2024,20231106,20230911,AB,EUR,USER027,REF96537,Expense report
1000,0000001331,2022,20200204,20230721,SA,COP,USER048,REF52667,Customer receipt
2000,0000001332,2021,20230527,20220919,AB,EUR,USER040,REF20665,Salary posting
2000,0000001333,2023,20230910,20241021,RE,EUR,USER025,REF48517,Vendor payment
1000,0000001334,2021,20241116,20221201,ZP,EUR,USER033,REF14160,Expense report
2000,0000001335,2020,20210909,20240831,ZP,USD,USER011,REF68495,Invoice payment
2000,0000001336,2024,20210508,20210513,KR,COP,USER049,REF96474,Customer receipt
1000,0000001337,2020,20220609,20240105,RE,COP,USER021,REF60264,Salary posting
1000,0000001338,2022,20230925,20220902,RE,EUR,USER009,REF80063,Customer receipt
3000,0000001339,2023,20200704,20240617,SA,COP,USER037,REF88732,Invoice payment
3000,0000001340,2022,20220211,20240109,AB,EUR,USER042,REF83649,Asset acquisition
1000,0000001341,2021,20210614,20200824,SA,COP,USER008,REF21683,Salary posting
3000,0000001342,2024,20210120,20240304,RE,EUR,USER024,REF26700,Salary posting
2000,0000001343,2024,20240218,20200104,SA,COP,USER038,REF80202,Expense report
2000,0000001344,2023,20211016,20240428,SA,EUR,USER009,REF78124,Customer receipt
3000,0000001345,2024,20210330,20200806,AB,COP,USER035,REF70372,Salary posting
1000,0000001346,2022,20240910,20210324,AB,EUR,USER030,REF29323,Vendor payment
2000,0000001347,2021,20240309,20230924,RE,EUR,USER021,REF50487,Vendor payment
3000,0000001348,2020,20210714,20241002,ZP,USD,USER041,REF38272,Asset acquisition
2000,0000001349,2023,20200430,20240717,SA,COP,USER046,REF37605,Customer receipt
1000,0000001350,2020,20241107,20240508,KR,USD,USER047,REF61355,Salary posting
3000,0000001351,2021,20200214,20230127,AB,USD,USER028,REF98853,Asset acquisition
2000,0000001352,2023,20220311,20200527,ZP,EUR,USER019,REF47010,Customer receipt
1000,0000001353,2024,20220317,20200718,KR,USD,USER049,REF86072,Invoice payment
3000,0000001354,2022,20220726,20230902,KR,EUR,USER009,REF67918,Customer receipt
2000,0000001355,2022,20201023,20210305,KR,EUR,USER013,REF95359,Invoice payment
2000,0000001356,2024,20200727,20231021,KR,USD,USER028,REF99056,Expense report
1000,0000001357,2020,20211229,20220828,KR,COP,USER008,REF77559,Customer receipt
2000,0000001358,2024,20220607,20201031,AB,COP,USER003,REF25571,Expense report
2000,0000001359,2023,20210911,20231109,ZP,COP,USER042,REF59200,Customer receipt
3000,0000001360,2020,20240511,20220807,AB,USD,USER041,REF95615,Asset acquisition
2000,0000001361,2020,20200902,20200826,RE,COP,USER032,REF94070,Customer receipt
3000,0000001362,2021,20200217,20230416,ZP,EUR,USER031,REF45877,Customer receipt
3000,0000001363,2020,20240614,20230429,KR,USD,USER031,REF94488,Customer receipt
2000,0000001364,2022,20230316,20200913,RE,USD,USER005,REF80452,Expense report
2000,0000001365,2020,20220317,20230212,ZP,EUR,USER032,REF18379,Vendor payment
3000,0000001366,2024,20240101,20240803,RE,COP,USER043,REF25378,Expense report
3000,0000001367,2021,20200111,20230210,AB,USD,USER008,REF15130,Expense report
3000,0000001368,2021,20230829,20201126,RE,EUR,USER017,REF14588,Invoice payment
1000,0000001369,2024,20210903,20220114,ZP,COP,USER028,REF96266,Invoice payment
1000,0000001370,2022,20200404,20221129,SA,EUR,USER035,REF68316,Expense report
3000,0000001371,2023,20231124,20211002,ZP,USD,USER039,REF80544,Vendor payment
1000,0000001372,2020,20230919,20240805,RE,COP,USER003,REF34651,Expense report
2000,0000001373,2021,20201001,20230518,ZP,COP,USER038,REF57063,Salary posting
1000,0000001374,2024,20220514,20200601,ZP,USD,USER017,REF60040,Customer receipt
1000,0000001375,2023,20220723,20200619,SA,EUR,USER028,REF28775,Vendor payment
1000,0000001376,2020,20230713,20240209,SA,EUR,USER045,REF94616,Expense report
3000,0000001377,2022,20230228,20230908,ZP,EUR,USER011,REF65009,Expense report
2000,0000001378,2023,20220215,20200223,ZP,COP,USER005,REF45405,Invoice payment
3000,0000001379,2020,20231101,20230128,AB,COP,USER022,REF93909,Invoice payment
2000,0000001380,2022,20240512,20210713,KR,COP,USER018,REF11292,Invoice payment
2000,0000001381,2021,20220214,20200803,RE,COP,USER034,REF50180,Vendor payment
2000,0000001382,2020,20221219,20211215,ZP,USD,USER036,REF45527,Vendor payment
1000,0000001383,2020,20201215,20211013,AB,COP,USER023,REF98842,Vendor payment
3000,0000001384,2024,20241211,20241006,AB,USD,USER038,REF26721,Salary posting
1000,0000001385,2024,20231231,20201114,KR,COP,USER025,REF84391,Customer receipt
2000,0000001386,2020,20240125,20230802,SA,EUR,USER050,REF42651,Customer receipt
3000,0000001387,2023,20231218,20220726,KR,USD,USER023,REF71428,Vendor payment
2000,0000001388,2022,20220526,20221202,KR,USD,USER041,REF21395,Salary posting
2000,0000001389,2022,20240927,20200703,RE,COP,USER047,REF41462,Invoice payment
1000,0000001390,2024,20200427,20200622,SA,EUR,USER032,REF11401,Asset acquisition
3000,0000001391,2024,20240205,20201006,AB,USD,USER033,REF99800,Customer receipt
3000,0000001392,2020,20220410,20200129,ZP,COP,USER048,REF10955,Customer receipt
2000,0000001393,2024,20240315,20211207,KR,EUR,USER043,REF79220,Customer receipt
3000,0000001394,2020,20230528,20220707,KR,EUR,USER049,REF78618,Expense report
1000,0000001395,2020,20220121,20240915,KR,EUR,USER023,REF16672,Asset acquisition
2000,0000001396,2023,20201215,20220203,RE,USD,USER044,REF42737,Vendor payment
1000,0000001397,2022,20210904,20220916,SA,USD,USER014,REF10292,Customer receipt
3000,0000001398,2024,20220317,20210321,SA,EUR,USER033,REF14643,Asset acquisition
3000,0000001399,2023,20200427,20211229,RE,EUR,USER030,REF53063,Salary posting
2000,0000001400,2020,20200111,20211217,KR,USD,USER023,REF11161,Invoice payment
2000,0000001401,2023,20210208,20200622,ZP,EUR,USER010,REF63833,Invoice payment
2000,0000001402,2020,20201114,20240424,SA,COP,USER031,REF61820,Salary posting
2000,0000001403,2022,20220527,20210108,ZP,USD,USER007,REF67484,Customer receipt
2000,0000001404,2021,20201013,20211225,AB,COP,USER023,REF36013,Invoice payment
1000,0000001405,2022,20200323,20200930,AB,USD,USER048,REF53412,Invoice payment
1000,0000001406,2021,20220908,20230924,SA,COP,USER027,REF74103,Vendor payment
2000,0000001407,2021,20211027,20240318,AB,EUR,USER047,REF60967,Expense report
1000,0000001408,2020,20240611,20200213,KR,COP,USER023,REF75536,Invoice payment
3000,0000001409,2021,20200416,20231021,SA,USD,USER039,REF11052,Asset acquisition
2000,0000001410,2022,20210731,20220922,RE,USD,USER016,REF90951,Expense report
3000,0000001411,2024,20210117,20210525,SA,COP,USER017,REF42421,Customer receipt
2000,0000001412,2021,20220828,20231217,RE,EUR,USER047,REF75841,Vendor payment
1000,0000001413,2021,20241016,20230425,KR,COP,USER008,REF27340,Asset acquisition
1000,0000001414,2022,20210128,20201026,AB,COP,USER040,REF36167,Invoice payment
1000,0000001415,2023,20220414,20221211,SA,EUR,USER041,REF40333,Expense report
2000,0000001416,2023,20220908,20200505,ZP,USD,USER042,REF16770,Salary posting
1000,0000001417,2022,20220114,20210728,SA,EUR,USER027,REF42370,Salary posting
1000,0000001418,2021,20200324,20200102,RE,EUR,USER048,REF52157,Expense report
2000,0000001419,2023,20210727,20230527,RE,USD,USER012,REF43064,Asset acquisition
2000,0000001420,2022,20210915,20200816,RE,EUR,USER001,REF99517,Vendor payment
1000,0000001421,2022,20220108,20240227,SA,EUR,USER050,REF87189,Vendor payment
3000,0000001422,2022,20210502,20230824,SA,COP,USER038,REF60338,Invoice payment
1000,0000001423,2021,20230713,20240229,ZP,COP,USER003,REF86881,Customer receipt
1000,0000001424,2021,20231214,20220701,RE,COP,USER035,REF91134,Salary posting
2000,0000001425,2023,20240407,20210217,ZP,EUR,USER010,REF15742,Expense report
1000,0000001426,2023,20230201,20231228,SA,EUR,USER023,REF57973,Asset acquisition
3000,0000001427,2020,20220612,20200518,AB,USD,USER034,REF76043,Invoice payment
1000,0000001428,2024,20210715,20231127,KR,USD,USER003,REF84209,Invoice payment
3000,0000001429,2021,20240225,20240726,AB,USD,USER044,REF79791,Vendor payment
1000,0000001430,2021,20220615,20240317,ZP,USD,USER036,REF61150,Asset acquisition
3000,0000001431,2022,20210227,20210111,RE,COP,USER037,REF38548,Vendor payment
3000,0000001432,2020,20241205,20240607,ZP,USD,USER033,REF78822,Salary posting
2000,0000001433,2021,20210829,20231221,SA,EUR,USER008,REF32427,Expense report
1000,0000001434,2024,20210502,20210820,RE,EUR,USER010,REF46406,Expense report
2000,0000001435,2020,20230808,20210524,KR,EUR,USER008,REF10183,Customer receipt
2000,0000001436,2024,20220125,20211026,RE,EUR,USER036,REF44608,Customer receipt
1000,0000001437,2023,20230606,20210826,SA,COP,USER041,REF11364,Salary posting
1000,0000001438,2022,20201227,20210608,RE,EUR,USER043,REF86449,Invoice payment
3000,0000001439,2023,20230901,20210611,ZP,EUR,USER014,REF67958,Expense report
2000,0000001440,2022,20210221,20230406,AB,COP,USER029,REF40372,Customer receipt
3000,0000001441,2023,20220124,20201030,AB,COP,USER032,REF33791,Asset acquisition
1000,0000001442,2021,20210121,20230312,AB,EUR,USER012,REF94877,Salary posting
1000,0000001443,2022,20201129,20241217,KR,USD,USER044,REF89668,Expense report
1000,0000001444,2021,20200527,20220523,KR,USD,USER042,REF62757,Invoice payment
3000,0000001445,2024,20201008,20240128,RE,EUR,USER007,REF59528,Asset acquisition
1000,0000001446,2020,20240819,20200128,RE,COP,USER016,REF20957,Salary posting
1000,0000001447,2024,20200128,20240610,RE,COP,USER035,REF54353,Customer receipt
1000,0000001448,2021,20201012,20220910,ZP,USD,USER011,REF50289,Salary posting
2000,0000001449,2021,20210514,20200424,ZP,EUR,USER018,REF92245,Vendor payment
1000,0000001450,2020,20240816,20200401,RE,EUR,USER019,REF23443,Vendor payment
2000,0000001451,2021,20200103,20210404,RE,COP,USER028,REF60512,Expense report
2000,0000001452,2022,20210407,20241205,AB,EUR,USER046,REF24733,Asset acquisition
1000,0000001453,2020,20210404,20200727,SA,USD,USER005,REF90700,Salary posting
1000,0000001454,2022,20200622,20200329,ZP,COP,USER012,REF66181,Vendor payment
2000,0000001455,2024,20210106,20231023,AB,COP,USER043,REF49526,Vendor payment
2000,0000001456,2022,20241127,20200731,SA,USD,USER043,REF58380,Salary posting
3000,0000001457,2020,20240603,20200105,KR,EUR,USER010,REF51976,Expense report
2000,0000001458,2023,20240117,20240619,AB,COP,USER008,REF85739,Asset acquisition
3000,0000001459,2022,20201023,20200704,SA,COP,USER012,REF60465,Salary posting
2000,0000001460,2023,20220518,20220912,AB,EUR,USER041,REF53707,Expense report
3000,0000001461,2021,20220223,20220507,ZP,USD,USER035,REF79962,Asset acquisition
3000,0000001462,2024,20240809,20210416,AB,COP,USER038,REF65291,Vendor payment
3000,0000001463,2021,20231210,20200627,KR,USD,USER001,REF36644,Invoice payment
2000,0000001464,2024,20220828,20200930,RE,COP,USER023,REF57298,Expense report
2000,0000001465,2023,20201022,20240906,ZP,USD,USER016,REF37621,Expense report
1000,0000001466,2021,20200828,20231125,KR,USD,USER047,REF13453,Customer receipt
2000,0000001467,2022,20200420,20231207,RE,EUR,USER038,REF19669,Asset acquisition
3000,0000001468,2021,20200302,20201027,SA,COP,USER006,REF42118,Invoice payment
1000,0000001469,2024,20240829,20240724,AB,COP,USER049,REF33910,Asset acquisition
3000,0000001470,2021,20240312,20221216,SA,USD,USER027,REF54215,Asset acquisition
3000,0000001471,2020,20210810,20200815,KR,COP,USER042,REF14209,Vendor payment
1000,0000001472,2024,20201124,20200123,AB,USD,USER044,REF69545,Vendor payment
3000,0000001473,2022,20230317,20221024,SA,EUR,USER015,REF65531,Expense report
2000,0000001474,2020,20221204,20220212,KR,EUR,USER014,REF62481,Vendor payment
1000,0000001475,2021,20220314,20210111,ZP,EUR,USER005,REF71398,Asset acquisition
2000,0000001476,2023,20240821,20220218,KR,COP,USER024,REF94757,Asset acquisition
1000,0000001477,2022,20200810,20200801,RE,USD,USER039,REF53970,Invoice payment
1000,0000001478,2022,20201129,20230114,RE,COP,USER014,REF88264,Invoice payment
2000,0000001479,2021,20230203,20210217,RE,COP,USER018,REF21146,Vendor payment
3000,0000001480,2020,20230228,20240606,AB,COP,USER004,REF51232,Invoice payment
2000,0000001481,2020,20211231,20240319,SA,USD,USER033,REF35543,Salary posting
2000,0000001482,2022,20200922,20231210,RE,USD,USER027,REF76005,Invoice payment
3000,0000001483,2021,20200218,20230417,AB,USD,USER038,REF14903,Salary posting
1000,0000001484,2021,20231029,20220806,RE,EUR,USER006,REF40352,Expense report
3000,0000001485,2021,20240423,20240111,KR,EUR,USER034,REF89788,Customer receipt
3000,0000001486,2022,20220705,20240527,KR,USD,USER019,REF57227,Vendor payment
2000,0000001487,2020,20241229,20231230,AB,COP,USER014,REF90004,Vendor payment
1000,0000001488,2021,20230307,20230709,AB,COP,USER001,REF28693,Salary posting
3000,0000001489,2020,20221018,20200711,AB,USD,USER011,REF48745,Expense report
1000,0000001490,2022,20230326,20220114,SA,COP,USER005,REF33486,Customer receipt
2000,0000001491,2022,20220827,20210608,AB,EUR,USER009,REF26248,Vendor payment
2000,0000001492,2020,20220114,20241025,SA,USD,USER027,REF91223,Customer receipt
1000,0000001493,2023,20220121,20221115,ZP,USD,USER024,REF20943,Customer receipt
2000,0000001494,2024,20220710,20210622,RE,EUR,USER042,REF17478,Customer receipt
1000,0000001495,2024,20200117,20201112,RE,USD,USER025,REF30736,Vendor payment
2000,0000001496,2020,20210401,20220306,AB,EUR,USER006,REF55735,Asset acquisition
2000,0000001497,2024,20240802,20220810,RE,COP,USER012,REF24201,Asset acquisition
2000,0000001498,2021,20220402,20211104,RE,USD,USER022,REF89215,Asset acquisition
1000,0000001499,2023,20200822,20210724,AB,COP,USER035,REF30413,Asset acquisition
1000,0000001500,2021,20211017,20230309,RE,EUR,USER050,REF59844,Invoice payment
2000,0000001501,2023,20220827,20210313,RE,COP,USER002,REF99610,Asset acquisition
2000,0000001502,2022,20230725,20201226,RE,COP,USER005,REF45901,Asset acquisition
1000,0000001503,2022,20241124,20231229,AB,USD,USER034,REF38063,Customer receipt
2000,0000001504,2021,20240827,20200420,RE,USD,USER022,REF48915,Expense report
1000,0000001505,2022,20220508,20220913,AB,EUR,USER045,REF31061,Customer receipt
2000,0000001506,2022,20231120,20230314,AB,COP,USER036,REF88266,Expense report
1000,0000001507,2024,20230616,20201023,SA,EUR,USER047,REF51486,Invoice payment
1000,0000001508,2023,20201029,20221019,SA,COP,USER044,REF63265,Salary posting
3000,0000001509,2020,20220711,20240831,KR,EUR,USER029,REF93744,Vendor payment
1000,0000001510,2020,20210323,20240307,KR,USD,USER045,REF81576,Expense report
3000,0000001511,2023,20210318,20211213,KR,COP,USER044,REF85607,Invoice payment
2000,0000001512,2022,20200203,20210910,SA,EUR,USER008,REF75422,Customer receipt
2000,0000001513,2023,20220420,20211221,SA,EUR,USER028,REF78572,Salary posting
1000,0000001514,2021,20220728,20220527,SA,COP,USER036,REF87973,Expense report
3000,0000001515,2023,20220220,20210806,AB,EUR,USER019,REF91313,Invoice payment
1000,0000001516,2020,20200702,20230823,RE,EUR,USER027,REF23588,Asset acquisition
3000,0000001517,2024,20230120,20200723,AB,EUR,USER038,REF14277,Customer receipt
2000,0000001518,2023,20210309,20210401,AB,EUR,USER025,REF25007,Expense report
2000,0000001519,2020,20211219,20240613,AB,USD,USER042,REF61879,Invoice payment
2000,0000001520,2021,20221105,20210803,SA,EUR,USER017,REF50291,Asset acquisition
3000,0000001521,2021,20200109,20220429,RE,COP,USER002,REF30103,Salary posting
3000,0000001522,2024,20211012,20211117,KR,EUR,USER028,REF41697,Vendor payment
2000,0000001523,2021,20230616,20230812,AB,COP,USER037,REF66243,Expense report
3000,0000001524,2023,20240131,20201221,AB,USD,USER034,REF30767,Asset acquisition
1000,0000001525,2020,20231225,20240628,KR,EUR,USER008,REF92764,Vendor payment
2000,0000001526,2022,20240910,20230206,KR,USD,USER014,REF22223,Invoice payment
1000,0000001527,2023,20200124,20230711,ZP,COP,USER002,REF91015,Customer receipt
3000,0000001528,2020,20230317,20220222,RE,EUR,USER047,REF27111,Asset acquisition
3000,0000001529,2022,20210117,20210505,KR,USD,USER013,REF80178,Expense report
3000,0000001530,2023,20240426,20210617,RE,USD,USER006,REF28844,Customer receipt
1000,0000001531,2024,20241110,20200730,RE,USD,USER039,REF26080,Invoice payment
1000,0000001532,2022,20210620,20210104,RE,COP,USER032,REF57369,Expense report
2000,0000001533,2020,20221002,20240617,RE,USD,USER005,REF73768,Customer receipt
1000,0000001534,2021,20231108,20220509,AB,USD,USER041,REF69097,Expense report
1000,0000001535,2022,20200121,20201231,ZP,EUR,USER039,REF14122,Invoice payment
2000,0000001536,2022,20220918,20230611,ZP,EUR,USER001,REF30760,Vendor payment
3000,0000001537,2022,20200906,20210129,ZP,COP,USER035,REF13019,Vendor payment
3000,0000001538,2021,20210318,20241110,SA,COP,USER014,REF13866,Salary posting
1000,0000001539,2021,20200619,20240130,KR,USD,USER018,REF73120,Expense report
1000,0000001540,2022,20231221,20230203,SA,USD,USER048,REF74985,Asset acquisition
3000,0000001541,2023,20210130,20210527,KR,COP,USER044,REF46842,Asset acquisition
1000,0000001542,2024,20240612,20240418,ZP,USD,USER011,REF36978,Customer receipt
2000,0000001543,2023,20241213,20220702,AB,EUR,USER048,REF45608,Salary posting
3000,0000001544,2020,20230528,20220223,AB,COP,USER037,REF56257,Salary posting
3000,0000001545,2020,20220709,20201208,RE,EUR,USER017,REF86922,Asset acquisition
2000,0000001546,2024,20240820,20241201,ZP,USD,USER026,REF13924,Invoice payment
1000,0000001547,2022,20220529,20240607,KR,USD,USER016,REF19521,Expense report
3000,0000001548,2022,20220131,20201024,SA,COP,USER001,REF51758,Customer receipt
1000,0000001549,2022,20210313,20220811,ZP,USD,USER015,REF83615,Invoice payment
2000,0000001550,2022,20230517,20210310,ZP,COP,USER007,REF83525,Salary posting
3000,0000001551,2024,20241214,20240711,RE,EUR,USER042,REF65279,Customer receipt
2000,0000001552,2022,20240723,20211017,KR,COP,USER004,REF74740,Asset acquisition
1000,0000001553,2022,20220512,20200901,RE,USD,USER011,REF88830,Salary posting
3000,0000001554,2023,20210429,20230326,RE,USD,USER002,REF94366,Vendor payment
1000,0000001555,2023,20210805,20200925,AB,COP,USER035,REF79142,Invoice payment
2000,0000001556,2020,20200522,20220820,RE,USD,USER047,REF49452,Salary posting
2000,0000001557,2022,20220330,20200612,ZP,USD,USER032,REF90258,Invoice payment
2000,0000001558,2022,20231127,20220719,AB,EUR,USER008,REF59008,Vendor payment
1000,0000001559,2020,20210403,20200407,RE,COP,USER007,REF52317,Customer receipt
3000,0000001560,2023,20210408,20201214,RE,COP,USER047,REF58349,Vendor payment
1000,0000001561,2020,20210615,20241214,RE,COP,USER004,REF49883,Invoice payment
2000,0000001562,2022,20231109,20230608,AB,USD,USER045,REF32326,Expense report
3000,0000001563,2023,20200902,20200915,SA,COP,USER049,REF86563,Asset acquisition
3000,0000001564,2023,20230930,20200907,ZP,EUR,USER016,REF85744,Asset acquisition
3000,0000001565,2023,20210728,20211021,AB,COP,USER006,REF44578,Salary posting
3000,0000001566,2020,20211223,20230217,KR,EUR,USER042,REF36986,Customer receipt
1000,0000001567,2020,20221009,20200503,KR,COP,USER043,REF38329,Asset acquisition
2000,0000001568,2021,20220925,20200802,SA,COP,USER038,REF79159,Vendor payment
2000,0000001569,2022,20231222,20220718,KR,EUR,USER007,REF27047,Expense report
2000,0000001570,2023,20220715,20241112,ZP,EUR,USER013,REF62455,Expense report
1000,0000001571,2022,20220516,20201202,SA,EUR,USER042,REF23377,Expense report
2000,0000001572,2020,20240305,20200813,KR,COP,USER030,REF34514,Salary posting
1000,0000001573,2023,20230917,20221223,AB,USD,USER017,REF25509,Vendor payment
1000,0000001574,2022,20220602,20210310,KR,USD,USER033,REF66472,Vendor payment
2000,0000001575,2020,20220622,20210712,SA,COP,USER004,REF95016,Asset acquisition
3000,0000001576,2023,20210201,20210825,KR,USD,USER012,REF87863,Salary posting
3000,0000001577,2024,20221007,20221128,AB,COP,USER044,REF16536,Customer receipt
1000,0000001578,2020,20210325,20200823,RE,COP,USER037,REF44888,Expense report
1000,0000001579,2024,20200725,20210718,KR,EUR,USER045,REF63026,Asset acquisition
2000,0000001580,2020,20210326,20240212,SA,USD,USER014,REF32417,Expense report
2000,0000001581,2022,20231216,20230506,SA,EUR,USER001,REF22352,Expense report
3000,0000001582,2024,20220903,20240222,SA,EUR,USER016,REF32312,Salary posting
3000,0000001583,2020,20201207,20210118,SA,USD,USER010,REF11669,Customer receipt
2000,0000001584,2023,20211115,20200212,KR,USD,USER005,REF32377,Customer receipt
1000,0000001585,2024,20211222,20220828,ZP,COP,USER032,REF42441,Asset acquisition
1000,0000001586,2020,20240804,20200205,ZP,EUR,USER019,REF39922,Vendor payment
3000,0000001587,2021,20240326,20201027,RE,COP,USER020,REF53997,Asset acquisition
2000,0000001588,2022,20230122,20210611,AB,USD,USER024,REF70129,Invoice payment
2000,0000001589,2022,20231225,20211114,ZP,EUR,USER039,REF73485,Invoice payment
2000,0000001590,2024,20240131,20230803,RE,COP,USER027,REF38869,Customer receipt
1000,0000001591,2022,20221016,20200304,KR,EUR,USER048,REF66455,Salary posting
1000,0000001592,2020,20210131,20220212,RE,USD,USER041,REF98971,Vendor payment
2000,0000001593,2024,20201224,20210627,SA,USD,USER026,REF87220,Asset acquisition
2000,0000001594,2022,20210125,20200325,ZP,EUR,USER045,REF54993,Vendor payment
1000,0000001595,2023,20240616,20220720,ZP,USD,USER019,REF24442,Invoice payment
2000,0000001596,2021,20220813,20231026,KR,EUR,USER019,REF91762,Vendor payment
3000,0000001597,2021,20210913,20220924,SA,COP,USER019,REF12043,Asset acquisition
1000,0000001598,2021,20210802,20240817,ZP,COP,USER004,REF74011,Salary posting
1000,0000001599,2023,20211222,20230914,RE,COP,USER017,REF28051,Salary posting
2000,0000001600,2024,20230924,20240423,ZP,COP,USER006,REF45477,Expense report
3000,0000001601,2021,20220603,20230413,RE,USD,USER015,REF14212,Asset acquisition
2000,0000001602,2021,20240720,20231021,AB,USD,USER026,REF22863,Salary posting
2000,0000001603,2024,20210928,20201220,ZP,USD,USER044,REF52268,Vendor payment
1000,0000001604,2021,20210527,20201004,AB,EUR,USER013,REF49460,Salary posting
1000,0000001605,2022,20230306,20230710,AB,EUR,USER012,REF59278,Asset acquisition
1000,0000001606,2021,20221214,20220624,SA,EUR,USER044,REF56865,Asset acquisition
2000,0000001607,2023,20220813,20220511,AB,USD,USER002,REF83257,Invoice payment
2000,0000001608,2020,20240327,20201014,ZP,USD,USER016,REF86064,Vendor payment
2000,0000001609,2021,20230625,20230117,ZP,USD,USER004,REF61466,Expense report
2000,0000001610,2020,20220805,20240711,ZP,USD,USER004,REF21096,Invoice payment
2000,0000001611,2020,20211113,20230502,RE,USD,USER037,REF73106,Customer receipt
2000,0000001612,2020,20200905,20240225,ZP,EUR,USER033,REF16949,Customer receipt
1000,0000001613,2024,20201022,20230225,AB,COP,USER015,REF98562,Customer receipt
