BUKRS,BELNR,GJAHR,BUZEI,KOART,KONTO,DMBTR,WRBTR,WAERS,SGTXT
1000,0000000692,2022,003,M,812563,120303.59,114113.6,USD,Line item desc
1000,0000000693,2023,001,S,758160,44854.15,41072.39,USD,Line item desc
1000,0000000694,2024,001,M,154697,147558.48,144241.32,COP,Tax posting
1000,0000000694,2024,002,K,983848,3870.02,3680.27,COP,Revenue rec
1000,0000000694,2024,003,S,424355,190688.95,191419.18,COP,Line item desc
3000,0000000695,2023,001,S,139227,2759.62,2496.08,COP,Tax posting
1000,0000000696,2021,001,S,753546,169858.5,168566.28,EUR,Clearing entry
1000,0000000696,2021,002,S,867344,158397.37,173216.06,EUR,Tax posting
1000,0000000696,2021,003,S,526023,70233.82,63476.3,EUR,Clearing entry
2000,0000000697,2023,001,A,545643,171942.5,159375.27,EUR,Tax posting
2000,0000000697,2023,002,K,301762,84439.26,84951.71,EUR,Tax posting
3000,0000000698,2021,001,K,631777,147708.9,136249.8,USD,Line item desc
3000,0000000698,2021,002,A,470046,158534.33,148289.29,USD,Revenue rec
3000,0000000698,2021,003,K,486018,12022.66,12181.71,USD,Clearing entry
3000,0000000699,2022,001,K,454626,61689.69,67119.41,EUR,Tax posting
1000,0000000700,2023,001,S,174612,155187.72,159283.23,COP,Revenue rec
3000,0000000701,2024,001,A,998374,189883.63,199994.58,USD,Tax posting
3000,0000000701,2024,002,K,756244,175624.95,159462.87,USD,Cost allocation
3000,0000000701,2024,003,D,834620,155389.85,147542.81,USD,Clearing entry
3000,0000000701,2024,004,A,160723,91740.39,85541.7,USD,Revenue rec
2000,0000000702,2023,001,M,366316,19973.06,21653.31,EUR,Revenue rec
2000,0000000702,2023,002,A,396596,75975.91,73931.76,EUR,Clearing entry
2000,0000000702,2023,003,D,363502,121407.49,125855.47,EUR,Line item desc
2000,0000000702,2023,004,M,339002,188297.74,176443.28,EUR,Line item desc
1000,0000000703,2021,001,D,565497,171242.39,175787.68,USD,Revenue rec
2000,0000000704,2020,001,M,956708,153496.39,159950.64,COP,Clearing entry
2000,0000000704,2020,002,S,702611,91538.82,84075.05,COP,Revenue rec
2000,0000000704,2020,003,S,656031,183093.93,198088.92,COP,Clearing entry
2000,0000000705,2022,001,K,702336,4052.03,4182.14,USD,Tax posting
2000,0000000705,2022,002,M,367458,67984.42,73382.93,USD,Cost allocation
2000,0000000705,2022,003,M,262180,176399.77,181492.81,USD,Revenue rec
3000,0000000706,2024,001,A,888470,112051.97,106312.78,COP,Tax posting
3000,0000000706,2024,002,A,538369,133232.57,141301.3,COP,Clearing entry
3000,0000000706,2024,003,D,574757,94030.75,94616.2,COP,Revenue rec
3000,0000000706,2024,004,D,467642,49683.88,45823.59,COP,Line item desc
1000,0000000707,2022,001,D,987808,24567.73,24755.57,COP,Tax posting
1000,0000000707,2022,002,A,945919,61356.97,60838.27,COP,Tax posting
1000,0000000707,2022,003,A,890153,138855.29,126563.04,COP,Clearing entry
1000,0000000707,2022,004,K,730601,16368.75,15352.99,COP,Revenue rec
1000,0000000708,2020,001,S,232308,76140.55,73742.3,COP,Clearing entry
1000,0000000708,2020,002,A,556370,42158.43,45233.22,COP,Tax posting
1000,0000000709,2020,001,S,540884,106212.92,111566.58,COP,Tax posting
1000,0000000710,2021,001,K,758873,115053.62,112171.94,EUR,Tax posting
1000,0000000710,2021,002,D,935194,146745.11,158221.9,EUR,Clearing entry
1000,0000000710,2021,003,A,608493,130441.1,118607.7,EUR,Revenue rec
1000,0000000711,2020,001,A,604698,157030.15,170117.11,USD,Line item desc
1000,0000000711,2020,002,S,944060,54374.76,53834.07,USD,Tax posting
1000,0000000711,2020,003,K,241315,188930.79,206662.45,USD,Line item desc
2000,0000000712,2024,001,S,368485,72027.05,73722.6,COP,Line item desc
3000,0000000713,2024,001,S,238606,91685.28,89305.17,USD,Cost allocation
3000,0000000713,2024,002,S,882569,98147.76,99120.89,USD,Revenue rec
3000,0000000713,2024,003,S,843984,67359.59,69637.74,USD,Tax posting
1000,0000000714,2020,001,A,320747,188449.53,178726.51,USD,Revenue rec
1000,0000000714,2020,002,D,103380,137985.15,143741.4,USD,Revenue rec
1000,0000000714,2020,003,M,458048,5325.61,5807.06,USD,Line item desc
1000,0000000714,2020,004,D,593272,137180.87,148938.26,USD,Tax posting
1000,0000000715,2020,001,D,597866,105618.05,103274.88,USD,Revenue rec
1000,0000000715,2020,002,M,622169,134466.67,122638.75,USD,Clearing entry
1000,0000000716,2023,001,D,871102,168307.07,181145.61,COP,Tax posting
1000,0000000716,2023,002,K,346158,163390.47,160441.22,COP,Tax posting
1000,0000000716,2023,003,M,132624,162200.74,171542.18,COP,Cost allocation
3000,0000000717,2021,001,S,377036,87064.01,87777.19,USD,Clearing entry
3000,0000000717,2021,002,S,306093,192485.01,199875.04,USD,Line item desc
3000,0000000717,2021,003,A,732456,11373.75,12126.79,USD,Line item desc
3000,0000000717,2021,004,D,601427,86498.8,86424.94,USD,Tax posting
2000,0000000718,2023,001,A,211328,27956.32,27509.44,USD,Revenue rec
2000,0000000718,2023,002,K,714904,112872.05,104106.32,USD,Cost allocation
2000,0000000718,2023,003,A,710210,188971.57,182685.35,USD,Tax posting
2000,0000000719,2021,001,D,460991,68654.31,62284.22,EUR,Tax posting
2000,0000000719,2021,002,S,547838,121307.28,124050.01,EUR,Clearing entry
3000,0000000720,2024,001,M,248817,96097.64,90488.61,COP,Tax posting
2000,0000000721,2020,001,K,306230,4275.9,4032.82,USD,Revenue rec
1000,0000000722,2022,001,A,414207,28326.75,26806.73,EUR,Tax posting
2000,0000000723,2022,001,S,753805,151590.87,144963.52,EUR,Clearing entry
2000,0000000723,2022,002,A,805419,805.98,818.43,EUR,Revenue rec
1000,0000000724,2020,001,D,700166,23640.82,25281.73,USD,Tax posting
2000,0000000725,2020,001,K,212175,7933.32,8000.59,COP,Clearing entry
2000,0000000725,2020,002,M,199019,92456.41,88077.08,COP,Revenue rec
2000,0000000725,2020,003,K,186097,118045.19,121669.75,COP,Line item desc
3000,0000000726,2023,001,M,953122,165288.62,178707.78,USD,Line item desc
3000,0000000726,2023,002,M,503462,198556.08,217770.9,USD,Tax posting
1000,0000000727,2023,001,M,404172,30878.89,32898.94,EUR,Clearing entry
1000,0000000727,2023,002,A,474600,135149.18,145434.96,EUR,Revenue rec
1000,0000000727,2023,003,M,625241,177328.64,170232.29,EUR,Cost allocation
3000,0000000728,2020,001,D,421379,143915.27,147593.98,USD,Revenue rec
3000,0000000728,2020,002,D,110201,10789.47,11472.0,USD,Cost allocation
3000,0000000728,2020,003,A,928733,174846.31,162139.94,USD,Line item desc
3000,0000000728,2020,004,M,314275,199088.92,211592.55,USD,Tax posting
2000,0000000729,2021,001,S,469623,71582.11,67256.66,EUR,Tax posting
2000,0000000729,2021,002,M,252766,88730.68,84789.63,EUR,Revenue rec
2000,0000000730,2023,001,D,513741,138210.2,150764.36,USD,Tax posting
2000,0000000730,2023,002,A,717803,152471.12,164213.01,USD,Clearing entry
1000,0000000731,2021,001,K,940262,172129.88,160819.8,COP,Clearing entry
1000,0000000731,2021,002,A,273792,193506.22,193754.89,COP,Tax posting
1000,0000000731,2021,003,M,502181,51459.33,55774.95,COP,Line item desc
1000,0000000732,2023,001,A,497829,58948.08,61364.48,COP,Cost allocation
3000,0000000733,2021,001,A,428724,173246.71,162250.43,COP,Revenue rec
3000,0000000733,2021,002,S,609688,20111.37,18986.75,COP,Clearing entry
3000,0000000733,2021,003,K,399537,10086.61,9118.67,COP,Line item desc
3000,0000000733,2021,004,K,582546,140887.84,149500.97,COP,Clearing entry
3000,0000000734,2024,001,S,361464,26973.5,28520.23,COP,Cost allocation
3000,0000000735,2024,001,D,542848,11293.01,10986.77,USD,Clearing entry
3000,0000000735,2024,002,S,750456,184636.39,180783.31,USD,Revenue rec
3000,0000000735,2024,003,K,710732,63604.14,59908.91,USD,Cost allocation
3000,0000000735,2024,004,K,131824,180532.78,194334.85,USD,Revenue rec
3000,0000000736,2022,001,A,984310,73907.23,69846.0,EUR,Line item desc
3000,0000000736,2022,002,A,160331,162531.87,168851.3,EUR,Line item desc
3000,0000000736,2022,003,A,388601,197420.84,200075.25,EUR,Line item desc
2000,0000000737,2022,001,K,940863,71924.14,71919.37,COP,Cost allocation
2000,0000000737,2022,002,K,839920,1412.01,1534.36,COP,Tax posting
2000,0000000737,2022,003,D,347514,42661.35,45509.57,COP,Tax posting
2000,0000000737,2022,004,K,187479,162266.41,173347.89,COP,Line item desc
2000,0000000738,2024,001,S,693159,132122.75,123450.34,EUR,Cost allocation
2000,0000000739,2023,001,M,746531,165425.86,177099.64,EUR,Cost allocation
1000,0000000740,2023,001,K,536132,3159.32,2892.26,EUR,Clearing entry
1000,0000000740,2023,002,S,987594,76284.54,79220.91,EUR,Tax posting
1000,0000000740,2023,003,K,279380,185311.37,200712.59,EUR,Revenue rec
3000,0000000741,2024,001,S,361673,195171.13,188979.97,COP,Line item desc
1000,0000000742,2022,001,K,167260,165742.75,176683.44,USD,Line item desc
1000,0000000742,2022,002,K,417543,198780.76,192378.5,USD,Line item desc
1000,0000000742,2022,003,D,173455,178842.3,186272.54,USD,Clearing entry
2000,0000000743,2024,001,A,160941,122268.85,130351.52,USD,Cost allocation
2000,0000000743,2024,002,M,918370,96409.71,90442.74,USD,Revenue rec
2000,0000000743,2024,003,A,608281,159348.4,162756.91,USD,Tax posting
1000,0000000744,2020,001,S,626830,169476.91,181092.16,COP,Revenue rec
1000,0000000745,2020,001,A,466936,29976.34,27028.05,COP,Revenue rec
1000,0000000745,2020,002,S,520176,33869.74,36341.65,COP,Line item desc
1000,0000000745,2020,003,S,795127,77388.66,81198.69,COP,Clearing entry
1000,0000000745,2020,004,K,918267,83035.48,86836.99,COP,Tax posting
3000,0000000746,2023,001,K,874614,170554.1,171175.69,USD,Tax posting
3000,0000000746,2023,002,K,931871,155446.25,143502.04,USD,Clearing entry
3000,0000000746,2023,003,K,501271,111637.12,101712.95,USD,Clearing entry
3000,0000000747,2020,001,M,623466,189452.69,195938.2,COP,Revenue rec
2000,0000000748,2024,001,K,683698,182102.11,170098.08,USD,Tax posting
2000,0000000748,2024,002,A,991580,147616.48,161122.59,USD,Line item desc
2000,0000000748,2024,003,S,195848,52567.51,56797.18,USD,Revenue rec
2000,0000000749,2024,001,S,902950,124845.03,115979.8,USD,Tax posting
2000,0000000749,2024,002,K,655781,98762.35,99529.11,USD,Revenue rec
1000,0000000750,2020,001,K,338373,13006.27,12845.66,USD,Clearing entry
3000,0000000751,2021,001,D,530657,195890.85,196276.67,EUR,Clearing entry
3000,0000000751,2021,002,A,145089,189475.82,181643.43,EUR,Revenue rec
3000,0000000751,2021,003,M,797600,12600.55,12612.92,EUR,Revenue rec
3000,0000000751,2021,004,K,566915,30016.03,32872.66,EUR,Clearing entry
3000,0000000752,2020,001,K,146233,87855.74,86611.24,USD,Line item desc
3000,0000000753,2023,001,S,704799,44031.63,43788.64,COP,Cost allocation
3000,0000000753,2023,002,A,510448,119213.88,117094.65,COP,Line item desc
3000,0000000753,2023,003,S,363795,136649.93,126305.5,COP,Tax posting
2000,0000000754,2021,001,K,935226,64523.08,64449.7,USD,Line item desc
2000,0000000755,2023,001,A,464761,137577.97,144670.74,EUR,Line item desc
3000,0000000756,2024,001,A,596240,1138.59,1150.79,EUR,Cost allocation
2000,0000000757,2023,001,S,578731,194785.03,192322.98,USD,Clearing entry
2000,0000000757,2023,002,A,605642,125045.15,132526.52,USD,Tax posting
2000,0000000757,2023,003,D,821482,85602.52,78623.17,USD,Cost allocation
1000,0000000758,2022,001,D,413936,110669.08,112576.9,COP,Line item desc
1000,0000000758,2022,002,K,765940,51826.02,52778.27,COP,Cost allocation
2000,0000000759,2024,001,A,285289,72507.95,76065.51,EUR,Clearing entry
2000,0000000760,2022,001,D,543363,106970.5,116677.77,USD,Tax posting
2000,0000000760,2022,002,S,923284,182322.79,189182.37,USD,Clearing entry
2000,0000000760,2022,003,K,278863,135590.17,140660.54,USD,Line item desc
2000,0000000760,2022,004,M,947677,69091.24,65879.95,USD,Revenue rec
2000,0000000761,2022,001,A,719600,125628.62,131520.96,EUR,Clearing entry
2000,0000000761,2022,002,M,130677,197793.15,181598.01,EUR,Cost allocation
2000,0000000761,2022,003,A,936341,68481.3,63400.71,EUR,Clearing entry
2000,0000000761,2022,004,K,879079,43274.89,39073.4,EUR,Clearing entry
2000,0000000762,2023,001,A,963819,29786.94,30729.28,COP,Line item desc
1000,0000000763,2024,001,D,852545,175005.18,159159.0,USD,Tax posting
1000,0000000763,2024,002,A,165293,143668.06,135808.98,USD,Revenue rec
1000,0000000763,2024,003,M,468828,185419.26,199696.48,USD,Clearing entry
1000,0000000763,2024,004,K,510438,21166.5,20904.51,USD,Tax posting
1000,0000000764,2021,001,A,259041,87146.81,95557.58,COP,Tax posting
1000,0000000765,2022,001,A,882458,108360.43,101704.12,EUR,Line item desc
1000,0000000765,2022,002,S,355296,26594.1,29151.48,EUR,Tax posting
1000,0000000765,2022,003,D,251302,102710.79,109066.22,EUR,Clearing entry
3000,0000000766,2021,001,S,477054,35598.89,32366.51,USD,Clearing entry
3000,0000000766,2021,002,K,506019,198834.3,203385.39,USD,Line item desc
3000,0000000767,2020,001,A,959182,111851.97,105237.14,USD,Clearing entry
3000,0000000767,2020,002,K,956921,99628.65,106406.26,USD,Cost allocation
3000,0000000767,2020,003,S,222959,127218.06,133697.76,USD,Line item desc
3000,0000000767,2020,004,A,508430,127962.39,123422.62,USD,Revenue rec
1000,0000000768,2023,001,D,993019,198460.7,206855.73,EUR,Clearing entry
1000,0000000768,2023,002,K,893213,46326.12,41747.39,EUR,Tax posting
1000,0000000768,2023,003,S,977177,12442.43,12815.97,EUR,Tax posting
2000,0000000769,2024,001,M,830136,141798.61,151797.96,COP,Tax posting
2000,0000000770,2023,001,M,990366,76793.42,79607.77,EUR,Tax posting
1000,0000000771,2020,001,K,398454,124782.57,119358.35,USD,Clearing entry
1000,0000000771,2020,002,S,883890,195506.6,197635.7,USD,Cost allocation
1000,0000000771,2020,003,A,115473,11584.13,10718.77,USD,Clearing entry
1000,0000000772,2023,001,A,546119,32003.17,30485.49,COP,Line item desc
3000,0000000773,2020,001,K,436217,926.39,1004.42,USD,Line item desc
3000,0000000773,2020,002,K,753455,179426.25,181056.13,USD,Revenue rec
1000,0000000774,2023,001,A,319939,65714.23,71009.53,COP,Clearing entry
1000,0000000774,2023,002,M,396484,154970.99,145051.29,COP,Revenue rec
1000,0000000774,2023,003,D,635320,4921.13,4591.03,COP,Revenue rec
1000,0000000774,2023,004,A,271753,156822.22,151944.24,COP,Cost allocation
3000,0000000775,2020,001,D,662292,2678.87,2604.25,COP,Revenue rec
3000,0000000775,2020,002,K,222752,168450.24,157956.82,COP,Cost allocation
1000,0000000776,2022,001,K,939883,93649.6,92482.99,USD,Clearing entry
1000,0000000776,2022,002,S,114112,94822.97,98986.72,USD,Line item desc
1000,0000000776,2022,003,M,882420,41692.42,43290.3,USD,Clearing entry
2000,0000000777,2021,001,K,476288,17604.26,18479.75,COP,Revenue rec
2000,0000000777,2021,002,K,847828,20410.61,22191.73,COP,Line item desc
2000,0000000777,2021,003,K,388199,98548.05,103179.34,COP,Revenue rec
3000,0000000778,2023,001,M,733033,66277.55,71767.98,EUR,Cost allocation
2000,0000000779,2024,001,D,595789,160453.52,157474.41,USD,Clearing entry
2000,0000000779,2024,002,A,689043,29122.58,29540.46,USD,Clearing entry
1000,0000000780,2024,001,M,588078,89642.29,95690.72,EUR,Cost allocation
1000,0000000780,2024,002,D,807144,8456.35,8235.86,EUR,Cost allocation
1000,0000000780,2024,003,A,153722,120565.93,117358.09,EUR,Cost allocation
3000,0000000781,2022,001,A,184886,162249.15,150849.91,COP,Line item desc
3000,0000000781,2022,002,D,739362,40756.95,43571.77,COP,Clearing entry
3000,0000000781,2022,003,S,661200,17355.38,19050.88,COP,Line item desc
3000,0000000781,2022,004,A,508285,113520.07,115304.66,COP,Cost allocation
2000,0000000782,2021,001,A,466943,59531.2,61650.38,USD,Cost allocation
2000,0000000782,2021,002,S,875146,16853.41,18433.34,USD,Clearing entry
2000,0000000782,2021,003,S,490943,194991.45,212631.38,USD,Clearing entry
2000,0000000782,2021,004,S,133268,152137.9,159871.0,USD,Clearing entry
1000,0000000783,2021,001,S,500004,198446.99,206434.1,EUR,Line item desc
1000,0000000783,2021,002,M,677336,106845.24,108532.07,EUR,Tax posting
1000,0000000783,2021,003,D,806518,156222.09,164334.85,EUR,Cost allocation
1000,0000000784,2024,001,D,949818,1616.57,1721.55,USD,Cost allocation
1000,0000000784,2024,002,M,650663,162596.67,166868.24,USD,Cost allocation
2000,0000000785,2022,001,A,104264,132299.87,139404.8,COP,Revenue rec
3000,0000000786,2022,001,D,619736,122135.94,110316.96,EUR,Line item desc
2000,0000000787,2023,001,D,912418,155653.52,166083.61,EUR,Tax posting
3000,0000000788,2021,001,S,590001,85776.84,77887.16,COP,Tax posting
3000,0000000788,2021,002,A,144904,130480.82,136697.5,COP,Tax posting
3000,0000000788,2021,003,M,735410,62929.91,61903.71,COP,Tax posting
3000,0000000788,2021,004,M,130349,40547.32,39387.04,COP,Tax posting
2000,0000000789,2023,001,M,912257,106006.66,106554.95,EUR,Cost allocation
2000,0000000789,2023,002,K,691648,40289.42,39970.28,EUR,Line item desc
3000,0000000790,2021,001,A,152822,58956.22,60499.75,EUR,Tax posting
3000,0000000790,2021,002,M,826030,72419.33,78534.3,EUR,Cost allocation
2000,0000000791,2021,001,M,792299,686.03,703.23,USD,Tax posting
3000,0000000792,2020,001,M,818899,80782.81,75513.62,EUR,Line item desc
3000,0000000792,2020,002,M,701861,175877.92,171910.37,EUR,Line item desc
2000,0000000793,2022,001,A,994979,155018.13,164092.7,COP,Clearing entry
2000,0000000793,2022,002,D,609968,12705.95,12929.56,COP,Revenue rec
2000,0000000793,2022,003,D,487433,145396.09,135853.98,COP,Revenue rec
2000,0000000793,2022,004,M,124366,75517.67,74343.97,COP,Line item desc
1000,0000000794,2021,001,D,761961,119376.72,114255.1,EUR,Clearing entry
1000,0000000794,2021,002,A,733868,121948.33,120554.84,EUR,Cost allocation
1000,0000000794,2021,003,M,165314,24706.08,24860.11,EUR,Revenue rec
1000,0000000794,2021,004,K,747811,111774.99,112804.85,EUR,Revenue rec
3000,0000000795,2021,001,M,578207,51519.46,52044.76,EUR,Line item desc
3000,0000000795,2021,002,S,659922,188827.38,179260.77,EUR,Revenue rec
3000,0000000795,2021,003,S,665377,83324.62,81277.28,EUR,Tax posting
3000,0000000796,2023,001,D,204814,77408.6,73020.33,USD,Clearing entry
3000,0000000796,2023,002,A,837392,137564.2,135431.89,USD,Tax posting
1000,0000000797,2023,001,M,706036,11269.69,11216.8,COP,Revenue rec
1000,0000000797,2023,002,K,657008,44552.96,44541.38,COP,Clearing entry
1000,0000000797,2023,003,D,566754,1772.41,1780.93,COP,Revenue rec
2000,0000000798,2020,001,D,538586,87791.09,91916.44,EUR,Clearing entry
2000,0000000798,2020,002,K,401288,105524.21,115927.93,EUR,Line item desc
1000,0000000799,2021,001,S,610248,157314.56,158589.2,USD,Line item desc
1000,0000000799,2021,002,A,310015,47025.23,49041.72,USD,Revenue rec
1000,0000000799,2021,003,K,981570,163718.84,162999.14,USD,Revenue rec
1000,0000000800,2023,001,S,603813,196437.88,200138.79,EUR,Revenue rec
1000,0000000800,2023,002,S,358213,193097.3,181372.17,EUR,Line item desc
1000,0000000800,2023,003,M,266775,99381.27,98379.17,EUR,Line item desc
1000,0000000800,2023,004,M,600792,70403.79,69115.44,EUR,Cost allocation
2000,0000000801,2023,001,K,561930,105599.0,106039.42,EUR,Tax posting
3000,0000000802,2020,001,K,448182,179381.03,177308.03,USD,Revenue rec
3000,0000000802,2020,002,A,245662,81286.17,75057.12,USD,Clearing entry
3000,0000000802,2020,003,M,794371,139609.34,134488.79,USD,Tax posting
3000,0000000803,2023,001,S,460293,126243.87,130384.38,USD,Revenue rec
3000,0000000803,2023,002,S,689526,29980.31,31708.67,USD,Tax posting
3000,0000000803,2023,003,M,287333,90910.71,92229.89,USD,Line item desc
1000,0000000804,2022,001,A,595115,32445.34,33197.37,USD,Line item desc
1000,0000000804,2022,002,K,203696,86719.28,83500.85,USD,Revenue rec
1000,0000000804,2022,003,M,271589,20887.48,20629.7,USD,Cost allocation
1000,0000000804,2022,004,M,651146,111441.8,105170.55,USD,Cost allocation
2000,0000000805,2024,001,M,798780,160706.79,168762.2,COP,Clearing entry
2000,0000000805,2024,002,D,475549,78085.88,80380.03,COP,Revenue rec
1000,0000000806,2024,001,A,295785,129854.23,131490.3,EUR,Tax posting
1000,0000000806,2024,002,K,337665,196592.14,191103.38,EUR,Revenue rec
1000,0000000806,2024,003,M,154322,99472.66,100657.58,EUR,Revenue rec
1000,0000000806,2024,004,K,840329,40194.2,38629.89,EUR,Clearing entry
2000,0000000807,2022,001,A,343075,82113.2,84197.18,USD,Line item desc
2000,0000000807,2022,002,K,154826,129523.05,135474.51,USD,Cost allocation
1000,0000000808,2022,001,S,996901,82547.51,80737.43,EUR,Line item desc
1000,0000000808,2022,002,A,179135,117114.99,112073.03,EUR,Line item desc
1000,0000000808,2022,003,K,106663,113334.98,103065.85,EUR,Line item desc
1000,0000000808,2022,004,S,975069,85966.43,88820.63,EUR,Revenue rec
1000,0000000809,2023,001,S,855246,67996.71,64578.08,EUR,Line item desc
1000,0000000809,2023,002,M,381821,19262.41,20627.0,EUR,Cost allocation
1000,0000000809,2023,003,A,862502,130922.21,125635.98,EUR,Cost allocation
3000,0000000810,2024,001,S,289685,182271.18,193985.55,USD,Cost allocation
3000,0000000811,2021,001,M,698329,133059.54,133231.1,COP,Tax posting
3000,0000000811,2021,002,D,159243,137319.36,137293.95,COP,Cost allocation
3000,0000000811,2021,003,A,516113,31611.28,30811.62,COP,Tax posting
2000,0000000812,2022,001,A,161989,9217.51,9452.0,USD,Tax posting
1000,0000000813,2021,001,A,197734,172912.89,163001.49,COP,Revenue rec
3000,0000000814,2020,001,S,135153,127884.1,139405.77,COP,Tax posting
2000,0000000815,2023,001,A,540954,35269.93,38149.06,EUR,Revenue rec
2000,0000000815,2023,002,M,777757,49077.62,47179.35,EUR,Tax posting
2000,0000000815,2023,003,A,806430,67719.39,70236.04,EUR,Revenue rec
3000,0000000816,2022,001,D,398265,169481.01,169450.08,COP,Tax posting
1000,0000000817,2022,001,A,115596,15952.41,14857.95,EUR,Revenue rec
1000,0000000817,2022,002,S,301584,140238.78,146326.51,EUR,Clearing entry
1000,0000000817,2022,003,A,460040,107520.06,104491.23,EUR,Clearing entry
2000,0000000818,2020,001,M,874662,184611.55,173065.75,COP,Revenue rec
2000,0000000818,2020,002,S,438844,144741.36,135004.63,COP,Clearing entry
2000,0000000818,2020,003,D,899749,147564.16,139548.88,COP,Line item desc
2000,0000000818,2020,004,S,863923,79903.28,75604.35,COP,Cost allocation
3000,0000000819,2024,001,A,580231,120638.93,125582.9,COP,Revenue rec
3000,0000000819,2024,002,S,338303,128691.37,121688.02,COP,Cost allocation
1000,0000000820,2020,001,A,650817,69042.94,68056.83,USD,Tax posting
1000,0000000820,2020,002,S,841729,138661.01,126286.69,USD,Tax posting
1000,0000000820,2020,003,D,374546,188621.18,193762.63,USD,Tax posting
3000,0000000821,2020,001,A,257642,182706.53,193197.43,COP,Clearing entry
3000,0000000821,2020,002,S,207766,42257.3,42789.07,COP,Line item desc
3000,0000000821,2020,003,K,122841,82043.89,74367.73,COP,Clearing entry
3000,0000000822,2023,001,S,282181,111829.32,114370.28,EUR,Cost allocation
3000,0000000822,2023,002,D,169235,115809.08,113012.76,EUR,Revenue rec
3000,0000000822,2023,003,D,627185,26270.34,24308.72,EUR,Revenue rec
3000,0000000822,2023,004,M,592656,101208.81,110714.56,EUR,Line item desc
3000,0000000823,2024,001,M,174909,56872.94,51205.72,EUR,Revenue rec
3000,0000000823,2024,002,M,695461,93941.01,86211.43,EUR,Clearing entry
2000,0000000824,2022,001,S,497310,45757.53,44387.35,USD,Line item desc
2000,0000000824,2022,002,D,400754,130148.71,122458.88,USD,Revenue rec
2000,0000000824,2022,003,A,825380,55082.82,49870.07,USD,Line item desc
2000,0000000825,2024,001,D,174570,170671.12,185689.83,USD,Cost allocation
2000,0000000825,2024,002,M,779967,118204.69,113298.24,USD,Revenue rec
2000,0000000825,2024,003,M,885926,186594.74,197171.61,USD,Revenue rec
2000,0000000825,2024,004,M,121548,171383.7,179693.3,USD,Cost allocation
3000,0000000826,2022,001,D,176886,31251.56,32108.95,COP,Line item desc
3000,0000000827,2021,001,D,199259,78720.28,86153.43,USD,Clearing entry
3000,0000000827,2021,002,S,375330,15791.76,16638.73,USD,Clearing entry
3000,0000000828,2021,001,A,154367,153454.6,153073.82,EUR,Revenue rec
3000,0000000828,2021,002,A,126359,171153.99,175320.43,EUR,Line item desc
2000,0000000829,2022,001,A,801215,186531.92,175985.89,COP,Tax posting
2000,0000000829,2022,002,S,848467,80962.6,83501.13,COP,Cost allocation
2000,0000000829,2022,003,S,575009,26043.88,24236.03,COP,Tax posting
2000,0000000829,2022,004,K,367737,121293.34,127084.15,COP,Line item desc
2000,0000000830,2023,001,D,562347,102709.15,104850.96,COP,Clearing entry
2000,0000000830,2023,002,S,271004,99776.59,103775.01,COP,Cost allocation
2000,0000000830,2023,003,M,555772,124082.31,132415.75,COP,Cost allocation
2000,0000000830,2023,004,K,950144,77791.17,78089.56,COP,Revenue rec
2000,0000000831,2023,001,M,671838,53577.81,55438.33,EUR,Clearing entry
2000,0000000831,2023,002,A,853103,182900.37,197177.4,EUR,Cost allocation
2000,0000000831,2023,003,A,947850,105485.21,98033.89,EUR,Clearing entry
3000,0000000832,2023,001,S,209743,20166.73,19423.3,USD,Clearing entry
1000,0000000833,2024,001,S,568014,33231.09,35572.31,EUR,Clearing entry
1000,0000000833,2024,002,A,203660,166243.32,161625.65,EUR,Revenue rec
1000,0000000833,2024,003,D,314726,146928.16,134312.23,EUR,Tax posting
3000,0000000834,2022,001,D,772290,14293.02,13717.75,COP,Tax posting
3000,0000000834,2022,002,A,166660,65927.1,67460.05,COP,Tax posting
2000,0000000835,2023,001,A,478300,171881.11,176365.41,EUR,Cost allocation
3000,0000000836,2020,001,K,924071,160535.48,145873.35,EUR,Tax posting
2000,0000000837,2020,001,M,908569,61573.03,62349.48,USD,Clearing entry
2000,0000000837,2020,002,A,159140,134081.52,141280.35,USD,Revenue rec
2000,0000000837,2020,003,D,441403,24168.88,22850.73,USD,Line item desc
2000,0000000837,2020,004,A,302669,174923.7,160774.25,USD,Line item desc
3000,0000000838,2022,001,A,975230,180072.82,194384.34,COP,Clearing entry
3000,0000000838,2022,002,M,590381,41678.37,42792.82,COP,Cost allocation
3000,0000000838,2022,003,A,400925,141798.05,146775.82,COP,Tax posting
2000,0000000839,2024,001,M,809177,35838.24,36634.0,EUR,Revenue rec
2000,0000000839,2024,002,K,883139,38927.24,41899.5,EUR,Cost allocation
2000,0000000840,2024,001,D,665244,151942.58,151699.46,COP,Line item desc
2000,0000000840,2024,002,A,731863,88922.37,83459.25,COP,Line item desc
2000,0000000840,2024,003,S,363293,62130.69,64046.05,COP,Revenue rec
3000,0000000841,2021,001,M,493853,118763.35,122558.07,USD,Revenue rec
1000,0000000842,2022,001,S,801635,35203.36,33108.82,COP,Revenue rec
1000,0000000842,2022,002,M,851383,1318.16,1404.81,COP,Tax posting
1000,0000000842,2022,003,K,984784,89378.79,86782.29,COP,Cost allocation
1000,0000000842,2022,004,A,653587,133169.47,128679.35,COP,Tax posting
1000,0000000843,2024,001,K,667947,64132.73,59721.1,COP,Line item desc
1000,0000000844,2022,001,D,194001,158071.99,162909.95,USD,Tax posting
